date,resort algarve,algarve hotel,algarve tourism,algarve vacation,is_holiday_pt,holiday_name,holiday_type,year,month,day,weekday,is_weekend,trend_mean,trend_max,is_before_holiday,is_after_holiday
2013-08-23,0,79,0,0,False,,none,2013,8,23,4,False,19.75,79,False,False
2013-08-24,0,75,0,0,False,,none,2013,8,24,5,True,18.75,75,False,False
2013-08-25,0,74,0,0,False,,none,2013,8,25,6,True,18.5,74,False,False
2013-08-26,0,68,0,0,False,,none,2013,8,26,0,False,17.0,68,False,False
2013-08-27,0,100,0,0,False,,none,2013,8,27,1,False,25.0,100,False,False
2013-08-28,0,53,0,0,False,,none,2013,8,28,2,False,13.25,53,False,False
2013-08-29,0,51,0,0,False,,none,2013,8,29,3,False,12.75,51,False,False
2013-08-30,0,63,0,0,False,,none,2013,8,30,4,False,15.75,63,False,False
2013-08-31,0,0,0,0,False,,none,2013,8,31,5,True,0.0,0,False,False
2013-09-01,0,0,0,0,False,,none,2013,9,1,6,True,0.0,0,False,False
2013-09-02,31,63,0,0,False,,none,2013,9,2,0,False,23.5,63,False,False
2013-09-03,0,55,0,0,False,,none,2013,9,3,1,False,13.75,55,False,False
2013-09-04,0,54,0,0,False,,none,2013,9,4,2,False,13.5,54,False,False
2013-09-05,0,53,0,0,False,,none,2013,9,5,3,False,13.25,53,False,False
2013-09-06,0,69,0,0,False,,none,2013,9,6,4,False,17.25,69,False,False
2013-09-07,0,0,0,0,False,,none,2013,9,7,5,True,0.0,0,False,False
2013-09-08,0,45,0,0,False,,none,2013,9,8,6,True,11.25,45,False,False
2013-09-09,0,37,0,0,False,,none,2013,9,9,0,False,9.25,37,False,False
2013-09-10,0,48,0,0,False,,none,2013,9,10,1,False,12.0,48,False,False
2013-09-11,0,33,0,0,False,,none,2013,9,11,2,False,8.25,33,False,False
2013-09-12,0,31,0,0,False,,none,2013,9,12,3,False,7.75,31,False,False
2013-09-13,0,0,0,0,False,,none,2013,9,13,4,False,0.0,0,False,False
2013-09-14,0,0,0,0,False,,none,2013,9,14,5,True,0.0,0,False,False
2013-09-15,0,0,0,0,False,,none,2013,9,15,6,True,0.0,0,False,False
2013-09-16,0,46,0,0,False,,none,2013,9,16,0,False,11.5,46,False,False
2013-09-17,0,46,0,0,False,,none,2013,9,17,1,False,11.5,46,False,False
2013-09-18,0,0,0,0,False,,none,2013,9,18,2,False,0.0,0,False,False
2013-09-19,0,0,0,0,False,,none,2013,9,19,3,False,0.0,0,False,False
2013-09-20,0,47,0,0,False,,none,2013,9,20,4,False,11.75,47,False,False
2013-09-21,0,0,0,0,False,,none,2013,9,21,5,True,0.0,0,False,False
2013-09-22,0,0,0,0,False,,none,2013,9,22,6,True,0.0,0,False,False
2013-09-23,0,0,0,0,False,,none,2013,9,23,0,False,0.0,0,False,False
2013-09-24,0,29,0,0,False,,none,2013,9,24,1,False,7.25,29,False,False
2013-09-25,0,30,0,0,False,,none,2013,9,25,2,False,7.5,30,False,False
2013-09-26,0,32,0,0,False,,none,2013,9,26,3,False,8.0,32,False,False
2013-09-27,0,0,0,0,False,,none,2013,9,27,4,False,0.0,0,False,False
2013-09-28,0,41,0,0,False,,none,2013,9,28,5,True,10.25,41,False,False
2013-09-29,0,0,0,0,False,,none,2013,9,29,6,True,0.0,0,False,False
2013-09-30,0,0,0,0,False,,none,2013,9,30,0,False,0.0,0,False,False
2013-10-01,0,0,0,0,False,,none,2013,10,1,1,False,0.0,0,False,False
2013-10-02,0,0,0,0,False,,none,2013,10,2,2,False,0.0,0,False,False
2013-10-03,0,0,0,0,False,,none,2013,10,3,3,False,0.0,0,False,False
2013-10-04,0,30,0,0,False,,none,2013,10,4,4,False,7.5,30,False,False
2013-10-05,0,0,0,0,False,,none,2013,10,5,5,True,0.0,0,False,False
2013-10-06,0,0,0,0,False,,none,2013,10,6,6,True,0.0,0,False,False
2013-10-07,0,0,0,0,False,,none,2013,10,7,0,False,0.0,0,False,False
2013-10-08,0,0,0,0,False,,none,2013,10,8,1,False,0.0,0,False,False
2013-10-09,0,0,0,0,False,,none,2013,10,9,2,False,0.0,0,False,False
2013-10-10,0,0,0,0,False,,none,2013,10,10,3,False,0.0,0,False,False
2013-10-11,0,0,0,0,False,,none,2013,10,11,4,False,0.0,0,False,False
2013-10-12,0,0,0,0,False,,none,2013,10,12,5,True,0.0,0,False,False
2013-10-13,0,0,0,0,False,,none,2013,10,13,6,True,0.0,0,False,False
2013-10-14,0,34,0,0,False,,none,2013,10,14,0,False,8.5,34,False,False
2013-10-15,0,0,0,0,False,,none,2013,10,15,1,False,0.0,0,False,False
2013-10-16,0,0,0,0,False,,none,2013,10,16,2,False,0.0,0,False,False
2013-10-17,0,0,0,0,False,,none,2013,10,17,3,False,0.0,0,False,False
2013-10-18,0,0,0,0,False,,none,2013,10,18,4,False,0.0,0,False,False
2013-10-19,0,0,0,0,False,,none,2013,10,19,5,True,0.0,0,False,False
2013-10-20,0,0,0,0,False,,none,2013,10,20,6,True,0.0,0,False,False
2013-10-21,0,0,0,0,False,,none,2013,10,21,0,False,0.0,0,False,False
2013-10-22,0,0,0,0,False,,none,2013,10,22,1,False,0.0,0,False,False
2013-10-23,0,0,0,0,False,,none,2013,10,23,2,False,0.0,0,False,False
2013-10-24,0,0,0,0,False,,none,2013,10,24,3,False,0.0,0,False,False
2013-10-25,0,100,0,0,False,,none,2013,10,25,4,False,25.0,100,False,False
2013-10-26,0,0,0,0,False,,none,2013,10,26,5,True,0.0,0,False,False
2013-10-27,0,0,0,0,False,,none,2013,10,27,6,True,0.0,0,False,False
2013-10-28,0,0,0,0,False,,none,2013,10,28,0,False,0.0,0,False,False
2013-10-29,0,0,0,0,False,,none,2013,10,29,1,False,0.0,0,False,False
2013-10-30,0,0,0,0,False,,none,2013,10,30,2,False,0.0,0,False,False
2013-10-31,0,0,0,0,False,,none,2013,10,31,3,False,0.0,0,False,False
2013-11-01,0,0,0,0,False,,none,2013,11,1,4,False,0.0,0,False,False
2013-11-02,0,0,0,0,False,,none,2013,11,2,5,True,0.0,0,False,False
2013-11-03,0,0,0,0,False,,none,2013,11,3,6,True,0.0,0,False,False
2013-11-04,0,0,0,0,False,,none,2013,11,4,0,False,0.0,0,False,False
2013-11-05,0,0,0,0,False,,none,2013,11,5,1,False,0.0,0,False,False
2013-11-06,0,0,0,0,False,,none,2013,11,6,2,False,0.0,0,False,False
2013-11-07,0,0,0,0,False,,none,2013,11,7,3,False,0.0,0,False,False
2013-11-08,0,0,0,84,False,,none,2013,11,8,4,False,21.0,84,False,False
2013-11-09,0,0,0,0,False,,none,2013,11,9,5,True,0.0,0,False,False
2013-11-10,0,0,0,94,False,,none,2013,11,10,6,True,23.5,94,False,False
2013-11-11,0,0,0,0,False,,none,2013,11,11,0,False,0.0,0,False,False
2013-11-12,0,0,0,0,False,,none,2013,11,12,1,False,0.0,0,False,False
2013-11-13,0,0,0,0,False,,none,2013,11,13,2,False,0.0,0,False,False
2013-11-14,0,0,0,0,False,,none,2013,11,14,3,False,0.0,0,False,False
2013-11-15,0,0,0,0,False,,none,2013,11,15,4,False,0.0,0,False,False
2013-11-16,0,0,0,0,False,,none,2013,11,16,5,True,0.0,0,False,False
2013-11-17,0,0,0,0,False,,none,2013,11,17,6,True,0.0,0,False,False
2013-11-18,0,0,0,0,False,,none,2013,11,18,0,False,0.0,0,False,False
2013-11-19,0,0,0,0,False,,none,2013,11,19,1,False,0.0,0,False,False
2013-11-20,0,0,0,0,False,,none,2013,11,20,2,False,0.0,0,False,False
2013-11-21,0,0,0,0,False,,none,2013,11,21,3,False,0.0,0,False,False
2013-11-22,0,0,0,0,False,,none,2013,11,22,4,False,0.0,0,False,False
2013-11-23,0,0,0,0,False,,none,2013,11,23,5,True,0.0,0,False,False
2013-11-24,0,0,0,0,False,,none,2013,11,24,6,True,0.0,0,False,False
2013-11-25,0,0,0,0,False,,none,2013,11,25,0,False,0.0,0,False,False
2013-11-26,0,0,0,88,False,,none,2013,11,26,1,False,22.0,88,False,False
2013-11-27,0,0,0,0,False,,none,2013,11,27,2,False,0.0,0,False,False
2013-11-28,0,0,0,0,False,,none,2013,11,28,3,False,0.0,0,False,False
2013-11-29,0,0,0,0,False,,none,2013,11,29,4,False,0.0,0,False,False
2013-11-30,0,0,0,0,False,,none,2013,11,30,5,True,0.0,0,False,False
2013-12-01,0,0,0,0,False,,none,2013,12,1,6,True,0.0,0,False,False
2013-12-02,0,0,0,0,False,,none,2013,12,2,0,False,0.0,0,False,False
2013-12-03,0,0,0,0,False,,none,2013,12,3,1,False,0.0,0,False,False
2013-12-04,0,0,0,0,False,,none,2013,12,4,2,False,0.0,0,False,False
2013-12-05,0,0,0,0,False,,none,2013,12,5,3,False,0.0,0,False,False
2013-12-06,0,0,0,0,False,,none,2013,12,6,4,False,0.0,0,False,False
2013-12-07,0,0,0,0,False,,none,2013,12,7,5,True,0.0,0,True,False
2013-12-08,0,0,0,0,True,Immaculate Conception,public,2013,12,8,6,True,0.0,0,False,False
2013-12-09,0,0,0,0,False,,none,2013,12,9,0,False,0.0,0,False,True
2013-12-10,0,0,0,0,False,,none,2013,12,10,1,False,0.0,0,False,False
2013-12-11,0,0,0,0,False,,none,2013,12,11,2,False,0.0,0,False,False
2013-12-12,0,0,0,0,False,,none,2013,12,12,3,False,0.0,0,False,False
2013-12-13,0,0,0,0,False,,none,2013,12,13,4,False,0.0,0,False,False
2013-12-14,0,0,0,0,False,,none,2013,12,14,5,True,0.0,0,False,False
2013-12-15,0,0,0,0,False,,none,2013,12,15,6,True,0.0,0,False,False
2013-12-16,0,0,0,0,False,,none,2013,12,16,0,False,0.0,0,False,False
2013-12-17,0,0,0,0,False,,none,2013,12,17,1,False,0.0,0,False,False
2013-12-18,0,0,0,0,False,,none,2013,12,18,2,False,0.0,0,False,False
2013-12-19,0,0,0,0,False,,none,2013,12,19,3,False,0.0,0,False,False
2013-12-20,0,0,0,0,False,,none,2013,12,20,4,False,0.0,0,False,False
2013-12-21,0,0,0,0,False,,none,2013,12,21,5,True,0.0,0,False,False
2013-12-22,0,0,0,0,False,,none,2013,12,22,6,True,0.0,0,False,False
2013-12-23,0,0,0,0,False,,none,2013,12,23,0,False,0.0,0,False,False
2013-12-24,0,0,0,0,False,,none,2013,12,24,1,False,0.0,0,True,False
2013-12-25,0,0,0,0,True,Christmas Day,religious,2013,12,25,2,False,0.0,0,False,False
2013-12-26,0,0,0,0,False,,none,2013,12,26,3,False,0.0,0,False,True
2013-12-27,0,0,0,0,False,,none,2013,12,27,4,False,0.0,0,False,False
2013-12-28,0,0,0,0,False,,none,2013,12,28,5,True,0.0,0,False,False
2013-12-29,0,0,0,0,False,,none,2013,12,29,6,True,0.0,0,False,False
2013-12-30,0,0,0,0,False,,none,2013,12,30,0,False,0.0,0,False,False
2013-12-31,0,0,0,0,False,,none,2013,12,31,1,False,0.0,0,True,False
2014-01-01,0,0,0,0,True,New Year's Day,public,2014,1,1,2,False,0.0,0,False,False
2014-01-02,0,0,0,0,False,,none,2014,1,2,3,False,0.0,0,False,True
2014-01-03,0,74,0,0,False,,none,2014,1,3,4,False,18.5,74,False,False
2014-01-04,0,0,0,0,False,,none,2014,1,4,5,True,0.0,0,False,False
2014-01-05,0,0,0,0,False,,none,2014,1,5,6,True,0.0,0,False,False
2014-01-06,0,0,0,0,False,,none,2014,1,6,0,False,0.0,0,False,False
2014-01-07,0,82,0,0,False,,none,2014,1,7,1,False,20.5,82,False,False
2014-01-08,0,0,0,0,False,,none,2014,1,8,2,False,0.0,0,False,False
2014-01-09,0,0,0,0,False,,none,2014,1,9,3,False,0.0,0,False,False
2014-01-10,0,0,0,0,False,,none,2014,1,10,4,False,0.0,0,False,False
2014-01-11,0,0,0,0,False,,none,2014,1,11,5,True,0.0,0,False,False
2014-01-12,0,0,0,0,False,,none,2014,1,12,6,True,0.0,0,False,False
2014-01-13,0,64,0,0,False,,none,2014,1,13,0,False,16.0,64,False,False
2014-01-14,0,0,0,0,False,,none,2014,1,14,1,False,0.0,0,False,False
2014-01-15,0,0,0,0,False,,none,2014,1,15,2,False,0.0,0,False,False
2014-01-16,0,0,0,0,False,,none,2014,1,16,3,False,0.0,0,False,False
2014-01-17,0,0,0,0,False,,none,2014,1,17,4,False,0.0,0,False,False
2014-01-18,0,0,0,0,False,,none,2014,1,18,5,True,0.0,0,False,False
2014-01-19,0,0,0,0,False,,none,2014,1,19,6,True,0.0,0,False,False
2014-01-20,0,0,0,0,False,,none,2014,1,20,0,False,0.0,0,False,False
2014-01-21,0,94,0,0,False,,none,2014,1,21,1,False,23.5,94,False,False
2014-01-22,0,0,0,0,False,,none,2014,1,22,2,False,0.0,0,False,False
2014-01-23,0,75,0,0,False,,none,2014,1,23,3,False,18.75,75,False,False
2014-01-24,0,0,0,0,False,,none,2014,1,24,4,False,0.0,0,False,False
2014-01-25,0,0,0,0,False,,none,2014,1,25,5,True,0.0,0,False,False
2014-01-26,0,0,0,0,False,,none,2014,1,26,6,True,0.0,0,False,False
2014-01-27,0,0,0,0,False,,none,2014,1,27,0,False,0.0,0,False,False
2014-01-28,0,0,0,0,False,,none,2014,1,28,1,False,0.0,0,False,False
2014-01-29,0,0,0,0,False,,none,2014,1,29,2,False,0.0,0,False,False
2014-01-30,0,0,0,0,False,,none,2014,1,30,3,False,0.0,0,False,False
2014-01-31,0,72,0,0,False,,none,2014,1,31,4,False,18.0,72,False,False
2014-02-01,0,76,0,0,False,,none,2014,2,1,5,True,19.0,76,False,False
2014-02-02,0,0,0,0,False,,none,2014,2,2,6,True,0.0,0,False,False
2014-02-03,0,0,0,0,False,,none,2014,2,3,0,False,0.0,0,False,False
2014-02-04,0,0,0,0,False,,none,2014,2,4,1,False,0.0,0,False,False
2014-02-05,0,80,0,0,False,,none,2014,2,5,2,False,20.0,80,False,False
2014-02-06,0,0,0,0,False,,none,2014,2,6,3,False,0.0,0,False,False
2014-02-07,0,83,0,0,False,,none,2014,2,7,4,False,20.75,83,False,False
2014-02-08,0,0,0,0,False,,none,2014,2,8,5,True,0.0,0,False,False
2014-02-09,0,0,0,0,False,,none,2014,2,9,6,True,0.0,0,False,False
2014-02-10,0,64,0,0,False,,none,2014,2,10,0,False,16.0,64,False,False
2014-02-11,0,72,0,0,False,,none,2014,2,11,1,False,18.0,72,False,False
2014-02-12,0,0,0,0,False,,none,2014,2,12,2,False,0.0,0,False,False
2014-02-13,0,68,0,0,False,,none,2014,2,13,3,False,17.0,68,False,False
2014-02-14,0,100,0,0,False,,none,2014,2,14,4,False,25.0,100,False,False
2014-02-15,0,0,0,0,False,,none,2014,2,15,5,True,0.0,0,False,False
2014-02-16,0,0,0,0,False,,none,2014,2,16,6,True,0.0,0,False,False
2014-02-17,0,85,0,0,False,,none,2014,2,17,0,False,21.25,85,False,False
2014-02-18,67,91,0,0,False,,none,2014,2,18,1,False,39.5,91,False,False
2014-02-19,0,91,0,0,False,,none,2014,2,19,2,False,22.75,91,False,False
2014-02-20,0,0,0,0,False,,none,2014,2,20,3,False,0.0,0,False,False
2014-02-21,0,82,0,0,False,,none,2014,2,21,4,False,20.5,82,False,False
2014-02-22,0,48,0,0,False,,none,2014,2,22,5,True,12.0,48,False,False
2014-02-23,0,47,0,0,False,,none,2014,2,23,6,True,11.75,47,False,False
2014-02-24,0,0,0,0,False,,none,2014,2,24,0,False,0.0,0,False,False
2014-02-25,0,42,0,0,False,,none,2014,2,25,1,False,10.5,42,False,False
2014-02-26,0,0,0,0,False,,none,2014,2,26,2,False,0.0,0,False,False
2014-02-27,0,41,0,0,False,,none,2014,2,27,3,False,10.25,41,False,False
2014-02-28,0,0,0,0,False,,none,2014,2,28,4,False,0.0,0,False,False
2014-03-01,0,0,0,0,False,,none,2014,3,1,5,True,0.0,0,False,False
2014-03-02,0,0,0,0,False,,none,2014,3,2,6,True,0.0,0,False,False
2014-03-03,0,0,0,0,False,,none,2014,3,3,0,False,0.0,0,False,False
2014-03-04,0,47,0,0,False,,none,2014,3,4,1,False,11.75,47,False,False
2014-03-05,0,43,0,0,False,,none,2014,3,5,2,False,10.75,43,False,False
2014-03-06,0,39,0,0,False,,none,2014,3,6,3,False,9.75,39,False,False
2014-03-07,0,69,0,0,False,,none,2014,3,7,4,False,17.25,69,False,False
2014-03-08,0,0,0,0,False,,none,2014,3,8,5,True,0.0,0,False,False
2014-03-09,0,56,0,0,False,,none,2014,3,9,6,True,14.0,56,False,False
2014-03-10,0,48,0,0,False,,none,2014,3,10,0,False,12.0,48,False,False
2014-03-11,0,36,0,0,False,,none,2014,3,11,1,False,9.0,36,False,False
2014-03-12,0,48,0,0,False,,none,2014,3,12,2,False,12.0,48,False,False
2014-03-13,0,58,0,0,False,,none,2014,3,13,3,False,14.5,58,False,False
2014-03-14,0,66,0,0,False,,none,2014,3,14,4,False,16.5,66,False,False
2014-03-15,0,52,0,0,False,,none,2014,3,15,5,True,13.0,52,False,False
2014-03-16,0,61,0,0,False,,none,2014,3,16,6,True,15.25,61,False,False
2014-03-17,0,57,0,0,False,,none,2014,3,17,0,False,14.25,57,False,False
2014-03-18,0,58,0,0,False,,none,2014,3,18,1,False,14.5,58,False,False
2014-03-19,0,44,0,0,False,,none,2014,3,19,2,False,11.0,44,False,False
2014-03-20,0,57,0,0,False,,none,2014,3,20,3,False,14.25,57,False,False
2014-03-21,0,57,0,0,False,,none,2014,3,21,4,False,14.25,57,False,False
2014-03-22,0,45,0,0,False,,none,2014,3,22,5,True,11.25,45,False,False
2014-03-23,0,0,0,0,False,,none,2014,3,23,6,True,0.0,0,False,False
2014-03-24,0,68,0,0,False,,none,2014,3,24,0,False,17.0,68,False,False
2014-03-25,0,62,0,0,False,,none,2014,3,25,1,False,15.5,62,False,False
2014-03-26,0,0,0,0,False,,none,2014,3,26,2,False,0.0,0,False,False
2014-03-27,0,48,0,0,False,,none,2014,3,27,3,False,12.0,48,False,False
2014-03-28,0,0,0,0,False,,none,2014,3,28,4,False,0.0,0,False,False
2014-03-29,0,68,0,0,False,,none,2014,3,29,5,True,17.0,68,False,False
2014-03-30,0,70,0,0,False,,none,2014,3,30,6,True,17.5,70,False,False
2014-03-31,40,55,0,42,False,,none,2014,3,31,0,False,34.25,55,False,False
2014-04-01,0,62,0,0,False,,none,2014,4,1,1,False,15.5,62,False,False
2014-04-02,0,50,0,0,False,,none,2014,4,2,2,False,12.5,50,False,False
2014-04-03,0,45,0,0,False,,none,2014,4,3,3,False,11.25,45,False,False
2014-04-04,0,68,0,0,False,,none,2014,4,4,4,False,17.0,68,False,False
2014-04-05,0,61,0,0,False,,none,2014,4,5,5,True,15.25,61,False,False
2014-04-06,0,48,0,0,False,,none,2014,4,6,6,True,12.0,48,False,False
2014-04-07,0,72,0,0,False,,none,2014,4,7,0,False,18.0,72,False,False
2014-04-08,0,63,0,0,False,,none,2014,4,8,1,False,15.75,63,False,False
2014-04-09,0,69,0,0,False,,none,2014,4,9,2,False,17.25,69,False,False
2014-04-10,0,86,0,0,False,,none,2014,4,10,3,False,21.5,86,False,False
2014-04-11,0,68,0,0,False,,none,2014,4,11,4,False,17.0,68,False,False
2014-04-12,0,71,0,0,False,,none,2014,4,12,5,True,17.75,71,False,False
2014-04-13,0,0,0,0,False,,none,2014,4,13,6,True,0.0,0,False,False
2014-04-14,0,100,0,0,False,,none,2014,4,14,0,False,25.0,100,False,False
2014-04-15,0,99,0,0,False,,none,2014,4,15,1,False,24.75,99,False,False
2014-04-16,0,48,0,0,False,,none,2014,4,16,2,False,12.0,48,False,False
2014-04-17,0,81,0,0,False,,none,2014,4,17,3,False,20.25,81,True,False
2014-04-18,0,0,0,0,True,Good Friday,public,2014,4,18,4,False,0.0,0,False,False
2014-04-19,0,77,0,0,False,,none,2014,4,19,5,True,19.25,77,True,True
2014-04-20,0,91,0,0,True,Easter Sunday,religious,2014,4,20,6,True,22.75,91,False,False
2014-04-21,0,67,0,0,False,,none,2014,4,21,0,False,16.75,67,False,True
2014-04-22,0,52,0,0,False,,none,2014,4,22,1,False,13.0,52,False,False
2014-04-23,0,98,0,0,False,,none,2014,4,23,2,False,24.5,98,False,False
2014-06-24,0,35,0,0,False,,none,2014,6,24,1,False,8.75,35,False,False
2014-06-25,0,36,0,0,False,,none,2014,6,25,2,False,9.0,36,False,False
2014-06-26,0,37,0,0,False,,none,2014,6,26,3,False,9.25,37,False,False
2014-06-27,0,44,0,0,False,,none,2014,6,27,4,False,11.0,44,False,False
2014-06-28,0,44,0,0,False,,none,2014,6,28,5,True,11.0,44,False,False
2014-06-29,0,43,0,0,False,,none,2014,6,29,6,True,10.75,43,False,False
2014-06-30,0,37,0,0,False,,none,2014,6,30,0,False,9.25,37,False,False
2014-07-01,0,33,0,0,False,,none,2014,7,1,1,False,8.25,33,False,False
2014-07-02,0,41,0,0,False,,none,2014,7,2,2,False,10.25,41,False,False
2014-07-03,15,31,0,0,False,,none,2014,7,3,3,False,11.5,31,False,False
2014-07-04,0,37,0,0,False,,none,2014,7,4,4,False,9.25,37,False,False
2014-07-05,0,36,0,0,False,,none,2014,7,5,5,True,9.0,36,False,False
2014-07-06,0,44,0,0,False,,none,2014,7,6,6,True,11.0,44,False,False
2014-07-07,0,53,0,0,False,,none,2014,7,7,0,False,13.25,53,False,False
2014-07-08,0,49,0,0,False,,none,2014,7,8,1,False,12.25,49,False,False
2014-07-09,0,33,0,0,False,,none,2014,7,9,2,False,8.25,33,False,False
2014-07-10,0,43,0,0,False,,none,2014,7,10,3,False,10.75,43,False,False
2014-07-11,0,28,0,0,False,,none,2014,7,11,4,False,7.0,28,False,False
2014-07-12,0,32,0,0,False,,none,2014,7,12,5,True,8.0,32,False,False
2014-07-13,0,26,0,0,False,,none,2014,7,13,6,True,6.5,26,False,False
2014-07-14,0,42,0,0,False,,none,2014,7,14,0,False,10.5,42,False,False
2014-07-15,0,43,0,0,False,,none,2014,7,15,1,False,10.75,43,False,False
2014-07-16,0,44,0,0,False,,none,2014,7,16,2,False,11.0,44,False,False
2014-07-17,0,51,0,0,False,,none,2014,7,17,3,False,12.75,51,False,False
2014-07-18,0,36,0,0,False,,none,2014,7,18,4,False,9.0,36,False,False
2014-07-19,0,44,0,0,False,,none,2014,7,19,5,True,11.0,44,False,False
2014-07-20,0,65,0,0,False,,none,2014,7,20,6,True,16.25,65,False,False
2014-07-21,0,56,0,0,False,,none,2014,7,21,0,False,14.0,56,False,False
2014-07-22,18,43,0,0,False,,none,2014,7,22,1,False,15.25,43,False,False
2014-07-23,0,42,0,0,False,,none,2014,7,23,2,False,10.5,42,False,False
2014-07-24,0,52,0,0,False,,none,2014,7,24,3,False,13.0,52,False,False
2014-07-25,0,49,0,0,False,,none,2014,7,25,4,False,12.25,49,False,False
2014-07-26,0,55,0,0,False,,none,2014,7,26,5,True,13.75,55,False,False
2014-07-27,0,100,0,0,False,,none,2014,7,27,6,True,25.0,100,False,False
2014-07-28,0,82,0,0,False,,none,2014,7,28,0,False,20.5,82,False,False
2014-07-29,0,49,0,0,False,,none,2014,7,29,1,False,12.25,49,False,False
2014-07-30,0,49,0,0,False,,none,2014,7,30,2,False,12.25,49,False,False
2014-07-31,0,49,0,0,False,,none,2014,7,31,3,False,12.25,49,False,False
2014-08-01,0,50,0,0,False,,none,2014,8,1,4,False,12.5,50,False,False
2014-08-02,0,42,0,0,False,,none,2014,8,2,5,True,10.5,42,False,False
2014-08-03,0,84,0,0,False,,none,2014,8,3,6,True,21.0,84,False,False
2014-08-04,0,59,0,0,False,,none,2014,8,4,0,False,14.75,59,False,False
2014-08-05,0,57,0,0,False,,none,2014,8,5,1,False,14.25,57,False,False
2014-08-06,0,65,0,0,False,,none,2014,8,6,2,False,16.25,65,False,False
2014-08-07,0,79,0,0,False,,none,2014,8,7,3,False,19.75,79,False,False
2014-08-08,18,58,0,0,False,,none,2014,8,8,4,False,19.0,58,False,False
2014-08-09,0,67,0,0,False,,none,2014,8,9,5,True,16.75,67,False,False
2014-08-10,0,61,0,0,False,,none,2014,8,10,6,True,15.25,61,False,False
2014-08-11,0,42,0,0,False,,none,2014,8,11,0,False,10.5,42,False,False
2014-08-12,0,59,0,0,False,,none,2014,8,12,1,False,14.75,59,False,False
2014-08-13,16,42,0,0,False,,none,2014,8,13,2,False,14.5,42,False,False
2014-08-14,0,63,0,0,False,,none,2014,8,14,3,False,15.75,63,True,False
2014-08-15,0,53,0,0,True,Assumption Day,public,2014,8,15,4,False,13.25,53,False,False
2014-08-16,0,55,0,0,False,,none,2014,8,16,5,True,13.75,55,False,True
2014-08-17,0,71,0,0,False,,none,2014,8,17,6,True,17.75,71,False,False
2014-08-18,0,53,0,0,False,,none,2014,8,18,0,False,13.25,53,False,False
2014-08-19,0,52,0,0,False,,none,2014,8,19,1,False,13.0,52,False,False
2014-08-20,22,46,0,0,False,,none,2014,8,20,2,False,17.0,46,False,False
2014-08-21,0,46,0,0,False,,none,2014,8,21,3,False,11.5,46,False,False
2014-08-22,0,29,0,0,False,,none,2014,8,22,4,False,7.25,29,False,False
2014-08-23,20,28,0,0,False,,none,2014,8,23,5,True,12.0,28,False,False
2014-10-24,0,0,0,0,False,,none,2014,10,24,4,False,0.0,0,False,False
2014-10-25,0,89,0,0,False,,none,2014,10,25,5,True,22.25,89,False,False
2014-10-26,0,0,0,0,False,,none,2014,10,26,6,True,0.0,0,False,False
2014-10-27,0,0,0,0,False,,none,2014,10,27,0,False,0.0,0,False,False
2014-10-28,0,0,0,0,False,,none,2014,10,28,1,False,0.0,0,False,False
2014-10-29,0,0,0,0,False,,none,2014,10,29,2,False,0.0,0,False,False
2014-10-30,0,0,0,0,False,,none,2014,10,30,3,False,0.0,0,False,False
2014-10-31,0,0,0,0,False,,none,2014,10,31,4,False,0.0,0,False,False
2014-11-01,0,0,0,0,False,,none,2014,11,1,5,True,0.0,0,False,False
2014-11-02,0,0,0,0,False,,none,2014,11,2,6,True,0.0,0,False,False
2014-11-03,0,0,0,0,False,,none,2014,11,3,0,False,0.0,0,False,False
2014-11-04,0,0,0,0,False,,none,2014,11,4,1,False,0.0,0,False,False
2014-11-05,0,0,0,0,False,,none,2014,11,5,2,False,0.0,0,False,False
2014-11-06,0,0,0,0,False,,none,2014,11,6,3,False,0.0,0,False,False
2014-11-07,0,0,0,0,False,,none,2014,11,7,4,False,0.0,0,False,False
2014-11-08,0,0,0,0,False,,none,2014,11,8,5,True,0.0,0,False,False
2014-11-09,0,0,0,0,False,,none,2014,11,9,6,True,0.0,0,False,False
2014-11-10,0,62,0,0,False,,none,2014,11,10,0,False,15.5,62,False,False
2014-11-11,0,65,0,0,False,,none,2014,11,11,1,False,16.25,65,False,False
2014-11-12,0,0,0,0,False,,none,2014,11,12,2,False,0.0,0,False,False
2014-11-13,0,0,0,0,False,,none,2014,11,13,3,False,0.0,0,False,False
2014-11-14,0,0,0,0,False,,none,2014,11,14,4,False,0.0,0,False,False
2014-11-15,0,0,0,0,False,,none,2014,11,15,5,True,0.0,0,False,False
2014-11-16,0,0,0,0,False,,none,2014,11,16,6,True,0.0,0,False,False
2014-11-17,0,0,0,0,False,,none,2014,11,17,0,False,0.0,0,False,False
2014-11-18,0,100,0,0,False,,none,2014,11,18,1,False,25.0,100,False,False
2014-11-19,0,0,0,0,False,,none,2014,11,19,2,False,0.0,0,False,False
2014-11-20,0,0,0,0,False,,none,2014,11,20,3,False,0.0,0,False,False
2014-11-21,0,0,0,0,False,,none,2014,11,21,4,False,0.0,0,False,False
2014-11-22,0,0,0,0,False,,none,2014,11,22,5,True,0.0,0,False,False
2014-11-23,0,0,0,0,False,,none,2014,11,23,6,True,0.0,0,False,False
2014-11-24,0,0,0,0,False,,none,2014,11,24,0,False,0.0,0,False,False
2014-11-25,0,0,0,0,False,,none,2014,11,25,1,False,0.0,0,False,False
