Strategy,Room,ADR Ref (€),Mean Price (€),Std Price,Mean α,α Std,Price Deviation,α Variance
PPO (Ours),A,97,91,±3.0,0.942,0.032,-0.058,0.0010
PPO (Ours),D,128,124,±4.1,0.965,0.032,-0.035,0.0010
PPO (Ours),F,185,186,±2.4,1.002,0.013,+0.002,0.0002
PPO (Ours),E,153,159,±3.0,1.039,0.020,+0.039,0.0004
PPO (Ours),B,87,92,±4.6,1.052,0.053,+0.052,0.0028
PPO (Ours),G,194,200,±5.4,1.030,0.028,+0.030,0.0008
Fixed (α=1.0),A,97,97,±0.0,1.000,0.000,+0.000,0.0000
Fixed (α=1.0),D,128,128,±0.0,1.000,0.000,+0.000,0.0000
Fixed (α=1.0),F,185,185,±0.0,1.000,0.000,+0.000,0.0000
Fixed (α=1.0),E,153,153,±0.0,1.000,0.000,+0.000,0.0000
Fixed (α=1.0),B,87,87,±0.0,1.000,0.000,+0.000,0.0000
Fixed (α=1.0),G,194,194,±0.0,1.000,0.000,+0.000,0.0000
Fixed (α=0.9),A,97,87,±0.0,0.900,0.000,-0.100,0.0000
Fixed (α=0.9),D,128,115,±0.0,0.900,0.000,-0.100,0.0000
Fixed (α=0.9),F,185,167,±0.0,0.900,0.000,-0.100,0.0000
Fixed (α=0.9),E,153,138,±0.0,0.900,0.000,-0.100,0.0000
Fixed (α=0.9),B,87,79,±0.0,0.900,0.000,-0.100,0.0000
Fixed (α=0.9),G,194,175,±0.0,0.900,0.000,-0.100,0.0000
Fixed (α=1.1),A,97,106,±0.0,1.100,0.000,+0.100,0.0000
Fixed (α=1.1),D,128,141,±0.0,1.100,0.000,+0.100,0.0000
Fixed (α=1.1),F,185,204,±0.0,1.100,0.000,+0.100,0.0000
Fixed (α=1.1),E,153,169,±0.0,1.100,0.000,+0.100,0.0000
Fixed (α=1.1),B,87,96,±0.0,1.100,0.000,+0.100,0.0000
Fixed (α=1.1),G,194,214,±0.0,1.100,0.000,+0.100,0.0000
Segmented Pricing,A,97,89,±0.0,0.920,0.000,-0.080,0.0000
Segmented Pricing,D,128,128,±0.0,1.000,0.000,+0.000,0.0000
Segmented Pricing,F,185,200,±0.0,1.080,0.000,+0.080,0.0000
Segmented Pricing,E,153,153,±0.0,1.000,0.000,+0.000,0.0000
Segmented Pricing,B,87,80,±0.0,0.920,0.000,-0.080,0.0000
Segmented Pricing,G,194,210,±0.0,1.080,0.000,+0.080,0.0000
Weekend/Weekday,A,97,96,±7.3,0.995,0.075,-0.005,0.0057
Weekend/Weekday,D,128,127,±9.6,0.995,0.075,-0.005,0.0057
Weekend/Weekday,F,185,184,±13.9,0.995,0.075,-0.005,0.0057
Weekend/Weekday,E,153,153,±11.5,0.995,0.075,-0.005,0.0057
Weekend/Weekday,B,87,87,±6.6,0.995,0.075,-0.005,0.0057
Weekend/Weekday,G,194,193,±14.6,0.995,0.075,-0.005,0.0057
Demand Heuristic,A,97,110,±2.8,1.137,0.029,+0.137,0.0008
Demand Heuristic,D,128,146,±3.7,1.137,0.029,+0.137,0.0008
Demand Heuristic,F,185,211,±5.4,1.137,0.029,+0.137,0.0008
Demand Heuristic,E,153,174,±4.5,1.137,0.029,+0.137,0.0008
Demand Heuristic,B,87,99,±2.5,1.137,0.029,+0.137,0.0008
Demand Heuristic,G,194,221,±5.6,1.137,0.029,+0.137,0.0008
Rule-Based Dynamic,A,97,97,±2.4,1.009,0.025,+0.009,0.0006
Rule-Based Dynamic,D,128,136,±3.2,1.059,0.025,+0.059,0.0006
Rule-Based Dynamic,F,185,205,±4.6,1.109,0.025,+0.109,0.0006
Rule-Based Dynamic,E,153,162,±3.8,1.059,0.025,+0.059,0.0006
Rule-Based Dynamic,B,87,88,±2.2,1.009,0.025,+0.009,0.0006
Rule-Based Dynamic,G,194,215,±4.8,1.109,0.025,+0.109,0.0006
Random,A,97,96,±8.3,0.997,0.086,-0.003,0.0074
Random,D,128,128,±11.4,1.003,0.089,+0.003,0.0080
Random,F,185,184,±16.2,0.996,0.088,-0.004,0.0077
Random,E,153,153,±13.3,1.000,0.087,+0.000,0.0076
Random,B,87,87,±7.6,0.999,0.087,-0.001,0.0075
Random,G,194,194,±16.9,1.000,0.087,-0.000,0.0076
